"","Commodity2","APMC","Year","maxfluctrel","maxfluct"
"325","pigeon pea tur","Chimur",2015,18.1917359879995,1334
"326","cotton","Sonpeth",2016,38.9230318993269,1330
"327","sorgumjawar","Kurdwadi-Modnimb",2015,129.538763493621,1329
"328","sorgumjawar","Dondaicha",2016,81.2347188264059,1329
"329","pigeon pea tur","Malkapur",2014,35.5382967327263,1327
"330","pigeon pea tur","Udgir",2015,26.52,1326
"331","wheathusked","Vasai",2015,87.0967741935484,1323
"332","sorgumjawar","Partur",2014,88.3534136546185,1320
"333","pigeon pea tur","Katol",2016,18.0399671502874,1318
"334","sorgumjawar","Barshi-Vairag",2014,100,1314
"335","sorgumjawar","Kurdwadi",2015,110.632911392405,1311
"336","sorgumjawar","Ulhasnagar",2016,54.2345276872964,1308
"337","sorgumjawar","Jalna",2016,99.3150684931507,1305
"338","pigeon pea tur","Malegaon",2015,20.8608565949286,1305
"339","pigeon pea tur","Ahmedpur",2016,25.909000596066,1304
"340","sorgumjawar","Phaltan",2016,79.9363057324841,1303
"341","pigeon pea tur","Mohol",2014,47.3818181818182,1303
"342","ricepaddyhus","Pune",2015,28.7768192877682,1301
"343","pigeon pea tur","Nira-Saswad",2015,18.5857142857143,1301
"344","pigeon pea tur","Sillod",2016,20.2903074761979,1300
"345","pigeon pea tur","Karmala",2016,19.8989744374713,1300
"346","sesamum","Osmanabad",2015,14.9425287356322,1300
"347","sesamum","Kej",2015,16.8527655154505,1298
"348","wheathusked","Kej",2015,74.0423098913665,1295
"349","pigeon pea tur","Ambad(Vadi Godri)",2016,17.0472273436392,1295
"350","pigeon pea tur","Lonar",2016,16.2708438605356,1288
"351","wheathusked","Latur",2014,84.9206349206349,1284
"352","sorgumjawar","Kada",2015,83.6482084690554,1284
"353","sesamum","Ausa",2014,15.7179581344106,1284
"354","sunflower","Karmala",2016,70.2244116037219,1283
"355","wheathusked","Ulhasnagar",2016,66.403162055336,1280
"356","pigeon pea tur","Chandrapur",2015,19.5386495569814,1279
